ingredients,reasons
Shark Liver Oil," Used in lubricating creams and lotions. Derivatives: Squalane, Squalene. Alternatives: vegetable oils."
Sheepskin, (See Leather.)
Shellac," Resinous excretion of certain insects. Used as a candy glaze, in hair lacquer, and on jewelry. Alternatives: plant waxes, Zein (from corn)."
Resinous Glaze," Resinous excretion of certain insects. Used as a candy glaze, in hair lacquer, and on jewelry. Alternatives: plant waxes, Zein (from corn)."
Silk," Silk is the shiny fiber made by silkworms to form their cocoons. Worms are boiled in their cocoons to get the silk. Used in cloth. In silk-screening (other fine cloth can be and is used instead). Taffeta can be made from silk or nylon. Silk powder is obtained from the secretion of the silkworm. It is used as a coloring agent in face powders, soaps, etc. Can cause severe allergic skin reactions and systemic reactions if inhaled or ingested. Alternatives: milkweed seed-pod fibers, nylon, silk-cotton tree and ceiba tree filaments (kapok), rayon, and synthetic silks."
Silk Powder," Silk is the shiny fiber made by silkworms to form their cocoons. Worms are boiled in their cocoons to get the silk. Used in cloth. In silk-screening (other fine cloth can be and is used instead). Taffeta can be made from silk or nylon. Silk powder is obtained from the secretion of the silkworm. It is used as a coloring agent in face powders, soaps, etc. Can cause severe allergic skin reactions and systemic reactions if inhaled or ingested. Alternatives: milkweed seed-pod fibers, nylon, silk-cotton tree and ceiba tree filaments (kapok), rayon, and synthetic silks."
Snails, In some cosmetics (crushed).
Sodium Caseinate, (See Casein.)
Sodium Steroyl Lactylate, (See Lactic Acid.)
Sodium Tallowate, (See Tallow.)
Spermaceti," Waxy oil originally derived from the sperm whale’s head or from dolphins but now most often derived from petroleum. In many margarines. In skin creams, ointments, shampoos, candles, etc. Used in the leather industry. May become rancid and cause irritations. Alternatives: synthetic spermaceti, jojoba oil, and other vegetable emollients."
Cetyl Palmitate," Waxy oil originally derived from the sperm whale’s head or from dolphins but now most often derived from petroleum. In many margarines. In skin creams, ointments, shampoos, candles, etc. Used in the leather industry. May become rancid and cause irritations. Alternatives: synthetic spermaceti, jojoba oil, and other vegetable emollients."
Sperm Oil," Waxy oil originally derived from the sperm whale’s head or from dolphins but now most often derived from petroleum. In many margarines. In skin creams, ointments, shampoos, candles, etc. Used in the leather industry. May become rancid and cause irritations. Alternatives: synthetic spermaceti, jojoba oil, and other vegetable emollients."
Sponge (Luna and Sea)," A plantlike animal. Lives in the sea. Becoming scarce. Alternatives: synthetic sponges, loofahs (plants used as sponges)."
Squalane, (See Shark Liver Oil.)
Squalene," Oil from shark livers, etc. In cosmetics, moisturizers, hair dyes, surface-active agents. Alternatives: vegetable emollients such as olive oil, wheat germ oil, rice bran oil, etc."
Stearamide, (See Stearic Acid.)
Stearamine, (See Stearic Acid.)
Stearamine Oxide, (See Stearyl Alcohol.)
Stearates, (See Stearic Acid.)
Stearic Acid," When animal-derived, a fat from cows, pigs, and sheep, etc. May also be of plant origin, including from cocoa butter and shea butter. Can be harsh, irritating. Used in cosmetics, soaps, lubricants, candles, hairspray, conditioners, deodorants, creams, chewing gum, food flavoring. Derivatives: Stearamide, Stearamine, Stearates, Stearic Hydrazide, Stearone, Stearoxytrimethylsilane, Stearoyl Lactylic Acid, Stearyl Betaine, Stearyl Imidazoline. Alternatives: Stearic acid can be found in many vegetable fats, coconut."
Stearic Hydrazide, (See Stearic Acid.)
Stearone, (See Stearic Acid.)
Stearoxytrimethylsilane, (See Stearic Acid.)
Stearoyl Lactylic Acid, (See Stearic Acid.)
Stearyl Acetate, (See Stearyl Alcohol.)
Stearyl Alcohol," A mixture of solid alcohols. Can be prepared from sperm whale oil. In medicines, creams, rinses, shampoos, etc. Derivatives: Stearamine Oxide, Stearyl Acetate, Stearyl Caprylate, Stearyl Citrate, Stearyldimethyl Amine, Stearyl Glycyrrhetinate, Stearyl Heptanoate, Stearyl Octanoate, Stearyl Stearate. Alternatives: plant sources, vegetable stearic acid."
Sterols," A mixture of solid alcohols. Can be prepared from sperm whale oil. In medicines, creams, rinses, shampoos, etc. Derivatives: Stearamine Oxide, Stearyl Acetate, Stearyl Caprylate, Stearyl Citrate, Stearyldimethyl Amine, Stearyl Glycyrrhetinate, Stearyl Heptanoate, Stearyl Octanoate, Stearyl Stearate. Alternatives: plant sources, vegetable stearic acid."
Stearyl Betaine, (See Stearic Acid.)
Stearyl Caprylate, (See Stearyl Alcohol.)
Stearyl Citrate, (See Stearyl Alcohol.)
Stearyldimethyl Amine, (See Stearyl Alcohol.)
Stearyl Glycyrrhetinate, (See Stearyl Alcohol.)
Stearyl Heptanoate, (See Stearyl Alcohol.)
Stearyl Imidazoline, (See Stearic Acid.)
Stearyl Octanoate, (See Stearyl Alcohol.)
Stearyl Stearate, (See Stearyl Alcohol.)
Steroids," From various animal glands or from plant tissues. Steroids include sterols. Sterols are alcohol from animals or plants (e.g., cholesterol). Used in hormone preparation. In creams, lotions, hair conditioners, fragrances, etc. Alternatives: plant tissues, synthetics."
Sterols," From various animal glands or from plant tissues. Steroids include sterols. Sterols are alcohol from animals or plants (e.g., cholesterol). Used in hormone preparation. In creams, lotions, hair conditioners, fragrances, etc. Alternatives: plant tissues, synthetics."
Sterols, (See Stearyl Alcohol and Steroids.)
Suede,(See Leather.)
Tallow," Rendered beef fat. May cause eczema and blackheads. In wax paper, crayons, margarines, paints, rubber, lubricants, etc. In candles, soaps, lipsticks, shaving creams, other cosmetics. Chemicals (e.g., PCB) can be in animal tallow. Derivatives: Sodium Tallowate, Tallow Acid, Tallow Amide, Tallow Amine, Talloweth-6, Tallow Glycerides, Tallow Imidazoline. Alternatives: vegetable tallow, Japan tallow, paraffin, ceresin (see alternatives to Beeswax). Paraffin is usually from petroleum, wood, coal, or shale oil."
Tallow Fatty Alcohol," Rendered beef fat. May cause eczema and blackheads. In wax paper, crayons, margarines, paints, rubber, lubricants, etc. In candles, soaps, lipsticks, shaving creams, other cosmetics. Chemicals (e.g., PCB) can be in animal tallow. Derivatives: Sodium Tallowate, Tallow Acid, Tallow Amide, Tallow Amine, Talloweth-6, Tallow Glycerides, Tallow Imidazoline. Alternatives: vegetable tallow, Japan tallow, paraffin, ceresin (see alternatives to Beeswax). Paraffin is usually from petroleum, wood, coal, or shale oil."
Stearic Acid," Rendered beef fat. May cause eczema and blackheads. In wax paper, crayons, margarines, paints, rubber, lubricants, etc. In candles, soaps, lipsticks, shaving creams, other cosmetics. Chemicals (e.g., PCB) can be in animal tallow. Derivatives: Sodium Tallowate, Tallow Acid, Tallow Amide, Tallow Amine, Talloweth-6, Tallow Glycerides, Tallow Imidazoline. Alternatives: vegetable tallow, Japan tallow, paraffin, ceresin (see alternatives to Beeswax). Paraffin is usually from petroleum, wood, coal, or shale oil."
Tallow Acid, (See Tallow.)
Tallow Amide, (See Tallow.)
Tallow Amine, (See Tallow.)
Talloweth-6, (See Tallow.)
Tallow Glycerides, (See Tallow.)
Tallow Imidazoline, (See Tallow.)
Triterpene Alcohols, (See Lanolin.)
Turtle Oil," From the muscles and genitals of giant sea turtles. In soap, skin creams, nail creams, other cosmetics. Alternatives: vegetable emollients (see alternatives to Animal Fats and Oils)."
Sea Turtle Oil," From the muscles and genitals of giant sea turtles. In soap, skin creams, nail creams, other cosmetics. Alternatives: vegetable emollients (see alternatives to Animal Fats and Oils)."
Tyrosine, Amino acid often of plant or synthetic origin but sometimes hydrolyzed from casein (milk). Used in cosmetics and creams. Derivative: Glucose Tyrosinase.
Urea," Typically synthetic. When extracted from animals, it is excreted from urine and other bodily fluids. In deodorants, ammoniated dentifrices, mouthwashes, hair colorings, hand creams, lotions, shampoos, etc. Used to “brown” baked goods, such as pretzels. Derivatives: Imidazolidinyl Urea, Uric Acid. Alternatives: synthetics."
Carbamide," Typically synthetic. When extracted from animals, it is excreted from urine and other bodily fluids. In deodorants, ammoniated dentifrices, mouthwashes, hair colorings, hand creams, lotions, shampoos, etc. Used to “brown” baked goods, such as pretzels. Derivatives: Imidazolidinyl Urea, Uric Acid. Alternatives: synthetics."
Uric Acid, (See Urea.)
Vitamin A," Can come from fish liver oil (e.g., shark liver oil), egg yolk, butter, lemongrass, wheat germ oil, carotene in carrots, and synthetics. An aliphatic alcohol. In cosmetics, creams, perfumes, hair dyes, etc. In vitamins, supplements. Alternatives: carrots, other vegetables, synthetics. (Please note that Vitamin A exists in two forms: see also Carotene, Retinol.)"
Vitamin B-Complex Factor, (See Panthenol.)
Vitamin B Factor, (See Biotin.)
Vitamin B12, from fortified foods or supplements.
Vitamin D," may be from an animal source. All the D vitamins can be in creams, lotions, other cosmetics, vitamin tablets, etc. Alternatives: plant and mineral sources, synthetics, completely vegetarian vitamins, exposure of skin to sunshine."
Ergocalciferol," may be from an animal source. All the D vitamins can be in creams, lotions, other cosmetics, vitamin tablets, etc. Alternatives: plant and mineral sources, synthetics, completely vegetarian vitamins, exposure of skin to sunshine."
Vitamin D2," may be from an animal source. All the D vitamins can be in creams, lotions, other cosmetics, vitamin tablets, etc. Alternatives: plant and mineral sources, synthetics, completely vegetarian vitamins, exposure of skin to sunshine."
Ergosterol," may be from an animal source. All the D vitamins can be in creams, lotions, other cosmetics, vitamin tablets, etc. Alternatives: plant and mineral sources, synthetics, completely vegetarian vitamins, exposure of skin to sunshine."
Provitamin D2," may be from an animal source. All the D vitamins can be in creams, lotions, other cosmetics, vitamin tablets, etc. Alternatives: plant and mineral sources, synthetics, completely vegetarian vitamins, exposure of skin to sunshine."
Calciferol," may be from an animal source. All the D vitamins can be in creams, lotions, other cosmetics, vitamin tablets, etc. Alternatives: plant and mineral sources, synthetics, completely vegetarian vitamins, exposure of skin to sunshine."
Vitamin D3," may be from an animal source. All the D vitamins can be in creams, lotions, other cosmetics, vitamin tablets, etc. Alternatives: plant and mineral sources, synthetics, completely vegetarian vitamins, exposure of skin to sunshine."
Vitamin H, (See Biotin.)
Wax," Glossy, hard substance that is soft when hot. From animals and plants. In lipsticks, depilatories, hair straighteners. Alternatives: vegetable waxes."
Whey," A serum from milk. Usually in cakes, cookies, candies, and breads. Used in cheesemaking. Alternatives: soybean whey."
Wool," From sheep. Used in clothing. Ram lambs and old “wool” sheep are slaughtered for their meat. Sheep are transported without food or water, in extreme heat and cold. Legs are broken, eyes injured, etc. Sheep are bred to be unnaturally woolly and unnaturally wrinkly, which causes them to get insect infestations around the tail areas. The farmer’s solution to this is the painful cutting away of the flesh around the tail (called “mulesing”). “Inferior” sheep are killed. When sheep are sheared, they are pinned down violently and sheared roughly. Their skin is cut up. Every year, hundreds of thousands of shorn sheep die from exposure to cold. Natural predators of sheep (wolves, coyotes, eagles, etc.) are poisoned, trapped, and shot. In the U.S., overgrazing of cattle and sheep is turning more than 150 million acres of land to desert. “Natural” wool production uses enormous amounts of resources and energy (for breeding, rearing, feeding, shearing, transport, slaughter, etc.). Derivatives: Lanolin, Wool Wax, Wool Fat. Alternatives: cotton, cotton flannel, synthetic fibers, ramie, etc."
Wool Fat, (See Lanolin.)
Wool Wax, (See Lanolin.)
